date, value
11/30/1964,23.67
12/1/1964,23.5
12/2/1964,23.42
12/3/1964,23.45
12/4/1964,23.4
12/7/1964,23.32
12/8/1964,23.07
12/9/1964,23
12/10/1964,22.95
12/11/1964,23
12/14/1964,23.17
12/15/1964,23.15
12/16/1964,23
12/17/1964,23
12/18/1964,23.1
12/21/1964,23.35
12/22/1964,23.35
12/23/1964,23.45
12/24/1964,23.55
12/28/1964,23.5
12/29/1964,23.32
12/30/1964,23.32
12/31/1964,23.45
1/4/1965,23.45
1/5/1965,23.45
1/6/1965,23.45
1/7/1965,23.4
1/8/1965,23.45
1/11/1965,23.35
1/12/1965,23.37
1/13/1965,23.3
1/14/1965,23.32
1/15/1965,23.45
1/18/1965,23.52
1/19/1965,23.5
1/20/1965,23.4
1/21/1965,23.4
1/22/1965,23.45
1/25/1965,23.45
1/26/1965,23.47
1/27/1965,23.4
1/28/1965,23.3
1/29/1965,23.4
2/1/1965,23.4
2/2/1965,23.6
2/3/1965,23.6
2/4/1965,23.55
2/5/1965,23.57
2/8/1965,23.72
2/9/1965,23.67
2/10/1965,23.72
2/11/1965,23.77
2/12/1965,23.85
2/15/1965,23.9
2/16/1965,23.85
2/17/1965,23.52
2/18/1965,23.65
2/19/1965,23.75
2/23/1965,23.85
2/24/1965,23.95
2/25/1965,23.92
2/26/1965,23.87
3/1/1965,23.85
3/2/1965,23.75
3/3/1965,23.75
3/4/1965,23.67
3/5/1965,23.57
3/8/1965,23.6
3/9/1965,23.6
3/10/1965,23.57
3/11/1965,23.55
3/12/1965,23.7
3/15/1965,23.87
3/16/1965,23.9
3/17/1965,24.17
3/18/1965,24.17
3/19/1965,24.1
3/22/1965,24.4
3/23/1965,24.55
3/24/1965,25.1
3/25/1965,24.75
3/26/1965,24.866
3/29/1965,24.89
3/30/1965,24.86
3/31/1965,24.56
4/1/1965,24.6
4/2/1965,24.57
4/5/1965,24.92
4/6/1965,25.02
4/7/1965,24.97
4/8/1965,24.72
4/9/1965,24.72
4/12/1965,24.85
4/13/1965,24.97
4/14/1965,25.27
4/15/1965,25.35
4/19/1965,25.55
4/20/1965,25.55
4/21/1965,25.47
4/22/1965,25.6
4/23/1965,25.55
4/26/1965,25.42
4/27/1965,25.62
4/28/1965,25.75
4/29/1965,25.8
4/30/1965,25.9
5/3/1965,26.12
5/4/1965,26.3
5/5/1965,26.4
5/6/1965,26.35
5/7/1965,26.15
5/10/1965,26.37
5/11/1965,26.85
5/12/1965,26.7
5/13/1965,26.6
5/14/1965,26.8
5/17/1965,26.8
5/18/1965,26.9
5/19/1965,26.85
5/20/1965,27.15
5/21/1965,27.22
5/24/1965,27.35
5/25/1965,27.57
5/26/1965,27.65
5/27/1965,27.67
5/28/1965,27.41
6/1/1965,27.65
6/2/1965,27.77
6/3/1965,27.65
6/4/1965,27.37
6/7/1965,27.07
6/8/1965,26.95
6/9/1965,26.5
6/10/1965,26.87
6/11/1965,26.62
6/14/1965,26.37
6/15/1965,26.77
6/16/1965,27.05
6/17/1965,27.25
6/18/1965,27.57
6/21/1965,27.47
6/22/1965,27.05
6/23/1965,26.8
6/24/1965,26.7
6/25/1965,27.15
6/28/1965,27.12
6/29/1965,27
6/30/1965,26.9
7/1/1965,27.12
7/2/1965,27.02
7/6/1965,26.85
7/7/1965,27
7/8/1965,26.95
7/9/1965,26.65
7/12/1965,26.5
7/13/1965,26.4
7/14/1965,26.25
7/15/1965,26.37
7/16/1965,26.45
7/19/1965,26.47
7/20/1965,26.4
7/21/1965,26.12
7/22/1965,26.2
7/23/1965,26.32
7/26/1965,26.37
7/27/1965,26.486
7/28/1965,26.248
7/29/1965,26.04
7/30/1965,25.814
8/2/1965,25.6
8/3/1965,25.45
8/4/1965,25.42
8/5/1965,25.47
8/6/1965,25.72
8/9/1965,25.65
8/10/1965,25.7
8/11/1965,25.7
8/12/1965,25.95
8/13/1965,26.07
8/16/1965,26.1
8/17/1965,25.95
8/18/1965,25.62
8/19/1965,25.7
8/20/1965,25.7
8/23/1965,25.9
8/24/1965,26.17
8/25/1965,26.12
8/26/1965,26
8/27/1965,25.97
8/30/1965,25.97
8/31/1965,26.02
9/1/1965,26
9/2/1965,26
9/3/1965,26.2
9/7/1965,26
9/8/1965,26.15
9/9/1965,26.25
9/10/1965,26.2
9/13/1965,26.05
9/14/1965,25.92
9/15/1965,26
9/16/1965,26
9/17/1965,25.92
9/20/1965,25.95
9/21/1965,25.92
9/22/1965,25.8
9/23/1965,25.8
9/24/1965,25.85
9/27/1965,25.774
9/28/1965,25.69
9/29/1965,25.572
9/30/1965,25.474
10/1/1965,25.35
10/4/1965,25.25
10/5/1965,25.37
10/6/1965,25.62
10/7/1965,25.55
10/8/1965,25.47
10/11/1965,25.57
10/12/1965,25.52
10/13/1965,25.4
10/14/1965,25.5
10/15/1965,25.52
10/18/1965,25.37
10/19/1965,25.32
10/20/1965,25.45
10/21/1965,25.35
10/22/1965,25.3
10/25/1965,25.35
10/26/1965,25.45
10/27/1965,25.6
10/28/1965,25.6
10/29/1965,25.6
11/1/1965,25.75
11/2/1965,25.87
11/3/1965,25.92
11/4/1965,25.8
11/5/1965,25.87
11/8/1965,25.87
11/9/1965,25.85
11/10/1965,25.77
11/11/1965,25.82
11/12/1965,25.77
11/15/1965,25.85
11/16/1965,25.77
11/17/1965,25.65
11/18/1965,25.67
11/19/1965,25.72
11/22/1965,25.77
11/23/1965,25.87
11/24/1965,25.806
11/26/1965,25.71
11/29/1965,25.638
11/30/1965,25.62
12/1/1965,25.6
12/2/1965,26.2
12/3/1965,26.5
12/6/1965,26.8
12/7/1965,27.6
12/8/1965,27.65
12/9/1965,26.9
12/10/1965,27.1
12/13/1965,27.5
12/14/1965,27.3
12/15/1965,27
12/16/1965,26.9
12/17/1965,26.9
12/20/1965,27.07
12/21/1965,27
12/22/1965,26.97
12/23/1965,26.75
12/27/1965,26.25
12/28/1965,26.15
12/29/1965,26.12
12/30/1965,26.22
1/3/1966,26.55
1/4/1966,26.8
1/5/1966,26.8
1/6/1966,26.7
1/7/1966,26.75
1/10/1966,26.82
1/11/1966,26.75
1/12/1966,26.8
1/13/1966,26.82
1/14/1966,27.12
1/17/1966,27.12
1/18/1966,26.9
1/19/1966,26.75
1/20/1966,26.95
1/21/1966,27.05
1/24/1966,27.25
1/25/1966,27.4
1/26/1966,27.466
1/27/1966,27.52
1/28/1966,27.46
1/31/1966,27.636
2/1/1966,27.35
2/2/1966,27.5
2/3/1966,27.55
2/4/1966,27.7
2/7/1966,27.7
2/8/1966,27.65
2/9/1966,27.62
2/10/1966,27.75
2/11/1966,27.85
2/14/1966,28.3
2/15/1966,28.25
2/16/1966,28.2
2/17/1966,28.25
2/18/1966,28.4
2/21/1966,28.65
2/23/1966,29.05
2/24/1966,28.8
2/25/1966,28.9
2/28/1966,28.87
3/1/1966,28.97
3/2/1966,29.05
3/3/1966,29.15
3/4/1966,29.05
3/7/1966,29.02
3/8/1966,28.85
3/9/1966,28.75
3/10/1966,28.85
3/11/1966,28.52
3/14/1966,27.85
3/15/1966,27.95
3/16/1966,28.35
3/17/1966,28.3
